SPEED [rad/s],TORQUE [Nm],EFFY [%],JLossTot [W],,SLIP,FREQUENCY [Hz],SA [W],V [V],I [A],JLossStat [W],JLossRotor [W],UsefulPower [W],IronLosses [W]
168.7002474,15.69963417,93.3272762,142.2240808,,1.551020408,54.54496,4726.500222,37.50910754,42.0031341,100.4976205,41.72646037,2648.532169,29.64062094
173.1792379,212.6920459,58.90185593,25560.66581,,6.326530612,58.84768,167606.034,87.78347571,636.4372968,23072.97683,2487.688974,36833.84643,98.87676548
173.803129,204.1853319,78.8331241,9416.155708,,8.346938776,60.3616,70522.85303,71.34478934,329.4931262,6184.222446,3231.933261,35488.04958,79.6210611
180.1305787,177.5012001,81.80468043,7027.126934,,10,63.70816,43903.63985,59.25535184,246.9742591,3474.527614,3552.599321,31973.39389,57.39144059
185.3122462,194.9392913,81.58893951,8058.870147,,10,65.5408,50848.01563,63.6046007,266.4797571,4045.021485,4013.848662,36124.63795,63.72986699
190.3937067,238.2829822,75.87423669,14289.37675,,7.979591837,65.85952,107946.999,84.39253592,426.3686665,10355.30626,3934.070497,45367.58024,97.35045296
194.9394164,0.441608413,93.32157828,3.574395052,,1.367346939,62.91136,141.3065336,7.285513765,6.465182742,2.380970392,1.19342466,86.0868863,1.526944271
196.4742571,220.8100764,81.40313913,9801.194023,,9.632653061,69.20608,65389.92415,72.30309842,301.4620654,5176.756359,4624.437664,43383.49572,76.93760163
201.6770743,236.7243847,81.00778871,11074.50885,,9.632653061,71.03872,74541.89631,76.65234728,324.1557454,5985.49169,5089.01716,47741.88133,83.69038074
212.9448335,260.2716851,80.64019723,13169.24786,,9.265306122,74.704,92970.39478,85.35084499,363.0910929,7509.717077,5659.530778,55423.51066,97.7943524
243.2345804,6.791887331,94.44142544,78.08530684,,2.102040816,79.0864,2103.92644,25.64081828,27.35126492,42.61350112,35.47180573,1652.021865,12.13090407
249.3186465,173.8731696,86.80058031,6467.519825,,6.87755102,85.22176,57656.87861,80.26443531,239.4455211,3265.922093,3201.597732,43349.82329,85.58008854
266.4499199,198.89371,86.56629006,8071.719185,,6.510204082,90.71968,77636.96541,93.31218189,277.3377274,4381.373631,3690.345554,52995.21311,107.3382109
270.3269538,78.11403339,92.90442108,1488.807454,,3.020408163,88.72768,28471.75503,78.56896542,120.7930505,831.1440178,657.6634359,21116.3287,83.15156039
277.7597255,215.6686651,86.20238059,9416.717485,,6.326530612,94.38496,93971.16168,102.0106796,307.0631494,5370.908888,4045.808597,59904.06922,122.5601909
291.0304062,18.24361375,95.45409497,174.2774264,,1.183673469,93.74752,7991.772008,60.43480915,44.07929867,110.6781107,63.59931571,5309.446322,51.36887504
295.0919208,235.8682093,85.67381006,11437.21797,,5.959183673,99.88288,121231.8798,115.0584262,351.2183151,7026.623685,4410.594284,69602.80294,146.3158015
299.3778334,1.621856767,95.19922505,15.93935975,,1.367346939,96.616,654.6624149,17.1634688,12.71426001,9.208196152,6.731163596,485.5479651,5.345371006
301.0931609,239.601856,85.51393671,12009.21698,,5.775510204,101.71552,130737.1098,119.4076751,364.9600963,7587.228263,4421.988712,72142.48016,154.246835
310.8730632,263.8071732,85.50906513,13709.71034,,7.428571429,106.89472,118509.8511,111.6674864,353.7581527,7128.617295,6581.09304,82010.54404,135.5004011
317.5923375,3.527479688,95.54310388,30.0946582,,1,102.11392,1645.59746,30.21121538,18.15658456,18.77849134,11.31616686,1120.300519,14.20360551
322.7274514,126.3460357,91.62756675,3556.105754,,3.755102041,106.73536,56432.00917,101.2735188,185.7412475,1965.210616,1590.895139,40775.3341,118.1411771
392.2964642,191.8690437,90.45962783,7687.127893,,4.12244898,130.24096,114906.5107,137.0258187,279.5252061,4450.761655,3236.366238,75269.54745,182.7389382
394.6682141,228.1150728,88.68993779,11265.64447,,5.959183673,133.58752,117105.1797,124.9363812,312.4394955,5560.633102,5705.011366,90029.76841,153.8339967
